firstName,lastName,gender,wikia,seasonId
Phillip,Sheppard,male,http://survivor.wikia.com/wiki/Phillip_Sheppard,22
Phillip,Sheppard,male,http://survivor.wikia.com/wiki/Phillip_Sheppard,26
Christine,Shields-Markoski,female,http://survivor.wikia.com/wiki/Christine_Shields_Markoski,23
Kelly,Shinn,female,http://survivor.wikia.com/wiki/Kelly_Shinn,21
Wanda,Shirk,female,http://survivor.wikia.com/wiki/Wanda_Shirk,10
Ryan,Shoulders,male,http://survivor.wikia.com/wiki/Ryan_Shoulders,7
Artis,Silvester,male,http://survivor.wikia.com/wiki/Artis_Silvester,25
Jerry,Sims,male,http://survivor.wikia.com/wiki/Jerry_Sims,18
Will,Sims II,male,http://survivor.wikia.com/wiki/Will_Sims_II,30
Jason,Siska,male,http://survivor.wikia.com/wiki/Jason_Siska,16
Michael,Skupin,male,http://survivor.wikia.com/wiki/Michael_Skupin,2
Michael,Skupin,male,http://survivor.wikia.com/wiki/Michael_Skupin,25
Leann,Slaby,female,http://survivor.wikia.com/wiki/Leann_Slaby,9
Kathy,Sleckman,female,http://survivor.wikia.com/wiki/Kathy_Sleckman,16
Vince,Sly,male,http://survivor.wikia.com/wiki/Vince_Sly,30
Candace,Smith,female,http://survivor.wikia.com/wiki/Candace_Smith,18
Christy,Smith,female,http://survivor.wikia.com/wiki/Christy_Smith,6
Jessica,Smith,female,http://survivor.wikia.com/wiki/Jessica_Smith,13
Susie,Smith,female,http://survivor.wikia.com/wiki/Susie_Smith,17
Tarzan,Smith,male,http://survivor.wikia.com/wiki/Tarzan_Smith,24
Willard,Smith,male,http://survivor.wikia.com/wiki/Willard_Smith,10
Zeke,Smith,male,http://survivor.wikia.com/wiki/Zeke_Smith,33
Zeke,Smith,male,http://survivor.wikia.com/wiki/Zeke_Smith,34
Michael,Snow,male,http://survivor.wikia.com/wiki/Michael_Snow,26
Julia,Sokolowski,female,http://survivor.wikia.com/wiki/Julia_Sokolowski,32
Paloma,Soto-Castillo,female,http://survivor.wikia.com/wiki/Paloma_Soto-Castillo,17
Joaquin,Souberbielle,male,http://survivor.wikia.com/wiki/Joaquin_Souberbielle,30
Linda,Spencer,female,http://survivor.wikia.com/wiki/Linda_Spencer,3
Kim,Spradlin,female,http://survivor.wikia.com/wiki/Kim_Spradlin,24
Ken,Stafford,male,http://survivor.wikia.com/wiki/Ken_Stafford,5
Nick,Stanbury,male,http://survivor.wikia.com/wiki/Nick_Stanbury,12
Denise,Stapley,female,http://survivor.wikia.com/wiki/Denise_Stapley,25
Jay,Starrett,male,http://survivor.wikia.com/wiki/Jay_Starrett,33
Stacey,Stillman,female,http://survivor.wikia.com/wiki/Stacey_Stillman,1
Taylor,Stocker,male,http://survivor.wikia.com/wiki/Taylor_Stocker,33
